cie_code,cie_name
A00,CÓLERA
A000,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE"
A001,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR"
A009,"CÓLERA, NO ESPECIFICADO"
A01,FIEBRES TIFOIDEA Y PARATIFOIDEA
A010,FIEBRE TIFOIDEA
A011,FIEBRE PARATIFOIDEA A
A012,FIEBRE PARATIFOIDEA B
A013,FIEBRE PARATIFOIDEA C
A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA"
A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA
A020,ENTERITIS DEBIDA A SALMONELLA
A021,SEPSIS DEBIDA A SALMONELLA
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A029,"INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA"
A03,SHIGELOSIS
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A038,OTRAS SHIGELOSIS
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO
A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A040,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA
A041,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA
A042,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A043,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A045,ENTERITIS DEBIDA A CAMPYLOBACTER
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A049,"INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA"
A05,"OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE"
A050,INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA
A051,BOTULISMO
A052,INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
A053,INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A054,INTOXICACIÓN ALIMENTARIA DEBIDA A BACILLUS CEREUS
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS
A059,"INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA"
A06,AMEBIASIS
A060,DISENTERÍA AMEBIANA AGUDA
A061,AMEBIASIS INTESTINAL CRÓNICA
A062,COLITIS AMEBIANA NO DISENTÉRICA
A063,AMEBOMA INTESTINAL
A064,ABSCESO AMEBIANO DEL HÍGADO
A065,ABSCESO AMEBIANO DEL PULMÓN
A066,ABSCESO AMEBIANO DEL CEREBRO
A067,AMEBIASIS CUTÁNEA
A068,INFECCIÓN AMEBIANA DE OTRAS LOCALIZACIONES
A069,"AMEBIASIS, NO ESPECIFICADA"
A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A070,BALANTIDIASIS
A071,GIARDIASIS [LAMBLIASIS]
A072,CRIPTOSPORIDIOSIS
A073,ISOSPORIASIS
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS
A079,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA"
A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A080,ENTERITIS DEBIDA A ROTAVIRUS
